Currency,Unit,Buy,Sell
Fixed by Nepal Rastra Bank,Currency,Unit,Buy,Sell
Fixed by Nepal Rastra Bank,100,160.00,160.15
Open Market Exchange Rates,Currency,Unit,Buy,Sell
Open Market Exchange Rates,1,133.34,133.94
Open Market Exchange Rates,1,143.30,143.95
Open Market Exchange Rates,1,166.56,167.31
Open Market Exchange Rates,1,146.70,147.36
Open Market Exchange Rates,1,87.55,87.95
Open Market Exchange Rates,1,96.93,97.37
Open Market Exchange Rates,1,98.33,98.77
Open Market Exchange Rates,10,8.58,8.61
Open Market Exchange Rates,1,18.45,18.53
Open Market Exchange Rates,1,35.55,35.71
Open Market Exchange Rates,1,36.57,36.73
Open Market Exchange Rates,1,3.61,3.62
Open Market Exchange Rates,1,36.30,36.47
Open Market Exchange Rates,1,28.12,28.24
Open Market Exchange Rates,100,9.78,9.82
Open Market Exchange Rates,1,12.22,12.27
Open Market Exchange Rates,1,19.21,19.30
Open Market Exchange Rates,1,17.06,17.13
Open Market Exchange Rates,1,433.44,435.39
Open Market Exchange Rates,1,353.66,355.25
